LAPTOP,PRICE
Acer Nitro 5 AN517-55-90CN i9 12900H 32Gb 512Go NVME Nvidia RTX 4060 17″,"16 500,00 DH"
Acer Nitro 5 i5 11400H 8GB 512Go SSD Nvidia RTX 3060 15.6″,"9 500,00 DH"
Acer Nitro 5 i5 12500H 12Gen 16GB DDR4 512Go NVME Nvidia RTX 3060 15.6″,"12 500,00 DH"
Acer Nitro 5 i7 12650H 16Gb 512Go NVME Nvidia RTX 4050 17″,"12 000,00 DH"
Acer Nitro 5 i9 11900H 16GB 512Go SSD Nvidia RTX 3070 15.6″,"15 500,00 DH"
Acer Nitro 5 Ryzen 7 5800H 16GB 512Go SSD Nvidia RTX 3070 15.6″,"11 800,00 DH"
Acer Nitro V15 ANV15-51-579P i5 13420H 16Gb 512Gb SSD RTX 4050 15.6″,"11 500,00 DH"
Asus ROG Flow X13-GV301RE-LJ112W AMD Ryzen 9 6900HS 16GB 1To SSD GeForce RTX 3050Ti 13.4″ Noir,"13 500,00 DH"
Asus ROG Flow X16 2023 i9-13900H 16GB 1To SSD GeForce RTX 4060 16″,"18 500,00 DH"
Asus ROG Strix 2023 G713P AMD Ryzen 9 7945HX 16Gb 1To SSD GeForce RTX 4060 17″,"18 000,00 DH"
Asus ROG Strix G16 G614 i5 13450HX 16Gb 512Gb NVME RTX 4050 16″,"11 500,00 DH"
Asus ROG Strix G16 G614 i7 13650HX 16Gb 512Gb NVME RTX 4060 16″,"16 500,00 DH"
Asus ROG Strix G17 G713PV-HX058 AMD AMD Ryzen 9 7845HX 32GB DDR5 1To SSD GeForce RTX 4060 17″,"19 500,00 DH"
Asus ROG Strix G713P AMD Ryzen 9 7940HX 32Gb 1To SSD GeForce RTX 4060 17″,"17 500,00 DH"
Asus ROG Strix SCAR 16 2024 G634 i9 14Gen 32Gb 1To SSD GeForce RTX 4080 16″,"29 500,00 DH"
Asus ROG Strix SCAR 18 2024 i9 14900HX 64Gb 4To SSD GeForce RTX 4090 18″,"39 000,00 DH"
Asus ROG Zephyrus G14 GA403U Ryzen 7 8845 16Gb 1To NVME RTX 4060 14″,"18 500,00 DH"
Asus Rog Zephyrus G16 i7 12700H 16Gb 512Gb NVME RTX 4060 16″,"15 500,00 DH"
Asus TUF Gaming A15 2023 AMD Ryzen 9 7940HS 16GB DDR5 512Go NVME Nvidia RTX 4070 15.6″,"17 500,00 DH"
Asus TUF Gaming A15 2023 TUF507RR AMD Ryzen 7 6800H 16GB DDR5 1To SSD Nvidia RTX 3070Ti 15.6″,"13 800,00 DH"
Asus TUF Gaming A15 2024 AMD Ryzen 5 7534HS 8GB 512Gb NVME Nvidia RTX 4060 15.6″,"11 500,00 DH"
Asus TUF Gaming A15 AMD Ryzen 7 7735HS 16GB 512Gb NVME Nvidia RTX 4060 15.6″,"13 500,00 DH"
Asus TUF Gaming A15 AMD Ryzen 7 7735HS 16GB DDR5 1To NVME Nvidia RTX 4060 15.6″,"16 500,00 DH"
