Norme du clavier,Description,Availability,Processeur,Carte Graphique,Price,Marque,Capacité RAM,Taille de la mémoire,Gamme processeur,Taille de l'écran,Clavier,Garantie,SSD,Reference,Status,Système d'exploitation,Chipset graphique,Ecran,Type de Processeur
AZERTY,"Aorus 15 BKG-13FR794CD Ultra7 155H/16GB DDR5/1TB SSD/RTX4060 8GB/15.6"" 165Hz",Produit en stock,,,"16 999,00 MAD",Gigabyte,16 Go DDR5,,,,,12 Mois,1TB Gigabyte Aorus Gen4 SSD,4719331762742,NEUF,,NVIDIA Geforce RTX 4060 6GB GDDR6,"15.6"" QHD (2560x1440) 165Hz","Ultra 7 155H (24M Cache, up to 4.80 GHz)"
,MSI THIN 15 B12UCX-1682XES i5-12450H/16GB DDR4/512GB SSD/RTX2050 /15.6'' 144Hz,Produit en arrivage,,,"8 499,00 MAD",MSI,16 Go DDR4,,Intel Core i5,,rétroéclairé,24 Mois,512GB NVMe PCIe,4711377195072,NEUF,FreeDOS,NVIDIA GeForce RTX 2050 4GB GDDR6,"15.6"" FHD (1920x1080)",Intel Core i5-12450H (4 Performance-Cores 4.4 GHz Turbo + 4 Efficient-Cores 3.3 GHz Turbo - 12 Threads - Cache 12 Mo)
,"MSI THIN B13VE-2473XMA i7 13620H/16GB DDR4/512GB/RTX4050 6GB 15.6"" 144Hz",Produit en stock,,,"12 999,00 MAD",MSI,16 Go DDR4,,Intel Core i7,,AZERTY,24 Mois,512GB NVMe PCIe,4711377254052,NEUF,FreeDOS,NVIDIA GeForce RTX 4050 6GB GDDR6,"15.6"" FHD (1920x1080)",Intel Core i7-13620H (6 Performance-Cores + 4 Efficient-Cores 3.9 GHz Turbo - 16 Threads - Cache 24 Mo)
AZERTY,"Asus ROG Zephyrus G14-403UI-Q24W AMD Ryzen 9 8945HS/32GB DDR5/1TB SSD/RTX 4070 TGP 90W/14"" 3K OLED",Produit en stock,,,"23 990,00 MAD",ASUS,32 Go DDR5,,,,,12 Mois,1TB NVMe PCIe,4711387741160,NEUF,Windows 11,NVIDIA GeForce RTX 4070 TGP 90W 8GB GDDR6,,AMD Ryzen 9 8945HS (Octo-Core 4 GHz / 5.2 GHz Turbo - 16 Threads - Cache 16 Mo)
,ASUS TUF GAMING A15 FA506NFR-HN008 AMD R7-7435HS/16GB DDR5/512GB SSD/RTX2050 4GB/15.6'' 144Hz,Produit en stock,AMD Ryzen 7,,"9 990,00 MAD",ASUS,16 Go DDR5,,,,QWERTY,12 Mois,512GB NVMe PCIe,4711387640777,NEUF,FreeDOS,NVIDIA GeForce RTX 2050 4GB GDDR6,"15.6"" FHD (1920x1080)",AMD Ryzen 7 7435HS (Octo Core 3.1 GHz / 4.5 GHz Turbo - 16 Threads - Cache 16 Mo)
,"MSI Modern 15 H B13M-237MA Intel i9-13900H/16Go DDR4/512GB SSD/15.6"" FHD IPS/Windows11 - Noir Classic",Produit en stock,,,"9 999,00 MAD",MSI,16 Go DDR4,,,,,12 Mois,512 GB,4711377238137,NEUF,Windows 11,Intel Iris Xe,"15.6"" FHD (1920x1080)",Intel Core i9
,"MSI MODERN 15 H B13M-261MA Intel i7-13620H/16Go DDR4/512GB SSD/15.6"" FHD IPS/Win11 - Noir Classic",Produit en stock,,,"8 499,00 MAD",MSI,16 Go DDR4,,,,,12 Mois,512 GB,4711377276269,NEUF,Windows 11,Intel Iris Xe,"15.6"" FHD (1920x1080)",Intel Core i7
,"MSI THIN B13VE-2474MA i7 13620H/16GB DDR4/512GB/RTX4050 6GB 15.6"" 144Hz W11",Produit en stock,,,"13 999,00 MAD",MSI,16 Go DDR4,,Intel Core i7,,AZERTY,24 Mois,512GB NVMe PCIe,4711377254069,NEUF,Windows 11 64 Bits,NVIDIA GeForce RTX 4050 6GB GDDR6,"15.6"" FHD (1920x1080)",Intel Core i7-13620H (6 Performance-Cores + 4 Efficient-Cores 3.9 GHz Turbo - 16 Threads - Cache 24 Mo)
,MSI THIN 15 B13VE-2659MA Intel i7-13620H/16GB DDR4/512GB SSD/RTX 4050 6GB/15.6″ 144Hz/Win11,Produit en stock,Intel core i7,,"13 999,00 MAD",,16 Go DDR4,,,,,12 Mois,512 GB,4711377271721,NEUF,Windows 11 Home,NVIDIA GeForce RTX 4050 6GB GDDR6,"15.6"" FHD (1920x1080)",ntel Core i7-13620H (6 Performance-Cores + 4 Efficient-Cores 3.9 GHz Turbo - 16 Threads - Cache 24 Mo)
,MSI THIN B13UCX-2657MA Intel i7-13620H/16GB DDR4/512GB SSD/RTX 2050 4GB/15.6″ 144Hz/Win11,Produit en stock,,,"10 999,00 MAD",MSI,16 Go DDR4,,Intel Core i7,,rétroéclairé,24 Mois,512 GB,4711377271707,NEUF,Windows 11 Home,NVIDIA GeForce RTX 2050 4GB GDDR6,"15.6"" FHD (1920x1080)",Intel Core i7-13620H (6 Performance-Cores + 4 Efficient-Cores 3.9 GHz Turbo - 16 Threads - Cache 24 Mo)
,"MSI CYBORG 15 A13VF-1474MA i7 13620H/16GB DDR5/512GB/RTX4060 8GB/15.6"" 144Hz W11",Produit en stock,Intel core i7,,"14 999,00 MAD",MSI,16 Go DDR5,,,,AZERTY,24 Mois,512GB NVMe PCIe,4711377254076,NEUF,Windows 11,NVIDIA GeForce RTX 4060 8GB GDDR6,"15.6"" FHD (1920x1080)",Intel Core i7-13620H (6 Performance-Cores + 4 Efficient-Cores 3.9 GHz Turbo - 16 Threads - Cache 24 Mo)
,Gigabyte G5 KF5 i5 13500H/16GB/1TB SSD/RTX4060 8GB/15.6'' 144Hz,Produit en stock,,,"12 490,00 MAD",Gigabyte,16 Go DDR5,,,,QWERTY,12 Mois,1TB NVMe PCIe,4719331857424,NEUF,FreeDOS,NVIDIA GeForce RTX 4060 8GB GDDR6,"15.6"" FHD (1920x1080)",Intel Core i5-13500H (4 Performance-Cores 4.7 GHz Turbo + 8 Efficient-Cores 2.6 GHz Turbo - 16 Threads - Cache 18 Mo)
,"MSI PULSE 16 AI C1VFKG-082MA Intel Ultra 9 185H/32GB DDR5/1TB SSD/RTX 4070 8GB/16"" 240Hz/Win11/W BAG",Produit en stock,Intel core i9,,"24 999,00 MAD",,32 Go DDR4,,,,,12 Mois,1TB NVMe PCIe,4711377271790,NEUF,Windows 11 Home,NVIDIA GeForce RTX 4070 8GB GDDR6,"16 "" (2560x1600) IPS 240Hz",Intel Ultra 9
,"MSI PULSE 16 AI C1VFKG-081MA Intel Ultra 9 185H/16GB DDR5/1TB SSD/RTX 4060 8GB/16"" 240Hz/Win11H/W BAG",Produit en stock,Intel core i9,,"21 999,00 MAD",,16 Go DDR5,,,,,12 Mois,1TB NVMe PCIe,4711377271769,NEUF,Windows 11 Home,NVIDIA GeForce RTX 4060 8GB GDDR6,"16 "" (2560x1600) IPS 240Hz",Intel Ultra 9
,MSI SWORD 16 HX B14VGKG-851MA Intel i7-14700HX/16GB DDR5/1TB SSD/RTX 4070 8GB/16″ 165Hz/Win11H,Produit en stock,Intel core i7,,"19 999,00 MAD",,16 Go DDR5,,,,,24 Mois,1TB NVMe PCIe,4711377271752,NEUF,Windows 11 Home,NVIDIA GeForce RTX 4070 8GB GDDR6,"16""",Intel Core i7-14700HX (6 Performance-Cores + 2 Efficient-Cores) 2.1 GHz - Turbo : jusqu'à 5.0 GHz 16 ThreadsCache : 24 Mo Intel Smart Cache
,"Asus ROG Zephyrus G16-GU605MV-Q82W intel Core Ultra 9/32GB/1TB SSD/RTX 4060/16"" 2.5K OLED (SANS EMBALLAGE)",Produit en stock,,,"24 400,00 MAD",ASUS,32 GB DDR5,,,,rétroéclairé,12 Mois,1 To PCIe 4.0 NVMe,G16-GU605MV-Q82W,NEUF,Windows 11 Home,NVIDIA GeForce RTX 4060,"16"" 2.5K OLED 240Hz","Intel Core Ultra 9 (16 cœurs, 5.1 GHz)"
,"ASUS ROG Zephyrus G16 GA605WI-Q05W Ryzen AI 9 HX 370/32GB DDR5/1TB SSD/RTX 4070 8GB/16"" OLED 2.5K 240Hz (SANS EMBALLAGE)",Produit en stock,,,"26 990,00 MAD",ASUS,32 Go DDR5,,,,AZERTY,12 Mois,1TB NVMe PCIe,G16-GA605WI-Q05W,NEUF,Windows 11,NVIDIA GeForce RTX 4070 TGP 105W 8GB GDDR6,"16"" (1920x1200)",AMD Ryzen AI 9 HX 370 (12-Core 2 GHz / 5.1 GHz Turbo - 24 Threads - Cache 24 Mo)
,Gigabyte G5 MF5-H2ES354KD i7 13620H/16GB DDR5/1TB SSD/RTX4050 6GB/15.6'' 144Hz,Produit en stock,,,"11 999,00 MAD",Gigabyte,16 Go DDR5,,,,,12 Mois,1TB NVMe PCIe,4719331759360,NEUF,FreeDOS,NVIDIA GeForce RTX 4050 6GB GDDR6,"15.6"" FHD (1920x1080)",Intel Core i7-13620H (6 Performance-Cores + 4 Efficient-Cores 3.9 GHz Turbo - 16 Threads - Cache 24 Mo)
,ASUS Vivobook 16 S1605PA-MB118W Intel Core i7-11370H/8GB/512GB SSD (SANS EMBALLAGE),Produit en stock,,Intel Iris Xe Graphics,"8 999,00 MAD",ASUS,8 Go DDR4,,,,,12 Mois,1To,S1605PA-MB118W,NEUF,Windows 11,,"16"" (1920x1200)","Intel Core i7-11370H (Quad-Core, jusqu'à 4.8 GHz)"
,"Asus ROG Zephyrus G16-GU605MV-Q28W intel Ultra 7 /16GB/1TB SSD/RTX 4060/16"" OLED(SANS EMBALLAGE)",Produit en stock,,,"20 399,00 MAD",ASUS,16GB DDR5,,,,AZERTY,12 Mois,1To M.2 NVMe PCIe,G16-GU605MV-Q28W,NEUF,Windows 11,NVIDIA GeForce RTX 4060 8 Go GDDR6,"16"" 2.5K OLED 240Hz",intel Ultra 7 Processor 4.8 GHz
,Lenovo Legion Pro 7 16IRX9H Intel i9 14900HX/32GB/1TB SSD/RTX4080/16'' 240Hz,Produit en stock,Intel core i9,,"33 990,00 MAD",Lenovo,32 Go DDR5,,,,AZERTY,12 Mois,1TB NVMe PCIe,16IRX9H,NEUF,Windows 11,NVIDIA GeForce RTX 4080 12GB GDDR6,"16 "" (2560x1600) IPS 240Hz",Intel i9-14900HX (5.8GHz Turbo - 8 Performance-Cores + 16 Efficient-Cores - 32 Threads - Cache 36 Mo)
,"Razer Blade 18 RZ09-0509TFK3-R3F1 i9 14900HX/32Go/1TB SSD/RTX 4080 12GB/18"" QHD+ 300Hz (Neuf Sans emballage)",Produit en stock,Intel Core i9-14900HX (8 Performance-Cores 5.8 GHz Turbo + 16 Efficient-Cores - 32 Threads),NVIDIA GeForce RTX 4080 12GB,"31 999,00 MAD",,,32 Go,,"18"" QHD+( 2560 x 1600)",,12 Mois,1To,RZ09-0509TFK3-R3F1,NEUF,Windows 11,,,
